Subject,Catalog,Instructor_Name,Requisite,Long Title,Description
IDIS,3052,"['Frontczak,Deirdre Mary Sheen' 'McChesney Jr,Thomas Balmer']",IDIS 3700 AND (MGMT 3050 PRE-REQ OR CO-REQ OR MGMT 3519 PRE-REQ OR CO-REQ)AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Challenges In Communications,"Analyzing problems, crafting solutions and implementing change have, at their heart, a need to communicate effectively with multiple audiences, both within and outside the organization.  Todays complex work environments call for understanding the interests and concerns of each audience, and balancing their needs in a way that enables the organization to move forward in the service of a common end. This course offers practice in assessing complex situations, analyzing them from varied perspectives, and developing communication strategies and plans that support effective action by leaders, teams and the organization as a whole."
IDIS,3695,"['Brock,Phyllis S' 'MacGregor,Nydia M' 'McChesney Jr,Thomas Balmer']",,Global Business Perspectives,
IDIS,3698,"['Byers,Charles F' 'Santoro,Michael Anthony']",,Independent Study,
IDIS,3700,"['Beard,Stephen Jeffrey' 'Byers,Charles F' 'Dutra,Dominic'
 'Firenzi,Gina Marie' 'Frontczak,Deirdre Mary Sheen'
 'Johnson,Christina Andrea' 'Lanham,Dennis Justin' 'Lee,Janine Fung-Hing'
 'Lipp,Christopher Joseph Paul' 'McChesney Jr,Thomas Balmer' 'Tran,Philip']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Effective Business Communications,"Intensive practice in forms of communication specifically for business settings, geared to the student's level of prior preparation. The focus will be primarily on oral communication and writing to support the oral communication. Emphasis on communicating complex issues and quantitative data to inform, advocate or persuade."
IDIS,3701,"['Firenzi,Gina Marie' 'McChesney Jr,Thomas Balmer' 'nan']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ) AND IDIS 3700,Critical Business Presentations,"This course is designed to equip the student with speaking and presenting facility in both formal and informal business settings. The class centers around multiple presentations on a variety of topics. Focus will be on learning to shape messages and presentations to different audiences and purposes. This one-unit course will afford an introduction to effective presentation skills that should then be implemented into later coursework and workplace interactions.  Business Communication theory, presentation practice and critique, interpersonal interaction in both traditional and social media forums, and conveying qualitative and quantitative information will 
serve as components of the course."
IDIS,3704,"['Furlong,Mary']",,Women in Leadership,"Presents the best practices of successful women technology leaders. Features a series of in-depth discussions and case studies where experts share the principles upon which they have created their businesses. Includes topics on vision, value creation, branding, product development and testing, recruitment and team building, management, financing, communication skills, networking, exit strategy and social impact."
IDIS,3711,"['Furlong,Mary']",,"Leadership: Vision, Deals, and Process","This class will present three distinct perspectives on leadership: vision, deal making, and process. Each perspective will be taught by an expert with extensive experience in that area. For each perspective, the students will gain an overview of the topic, specific skills needed to succeed in the arena, examples of business leaders who have translated ideals into action, and resources for continued learning. Prerequisite: MGMT 501."
IDIS,3797,"['Kadambi,Vasu']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Curricular Practicum Education,"The primary purpose of Co-op education is to give international students an opportunity to gain practical knowledge in their field of study. This course is designed to prepare them for such an experience. It consists of a series of lectures on topics that will familiarize them with the Silicon Valley working environment, and will enable them to relate their experience in the industry to their academic program. Attendance is mandatory."
IDIS,3798,"['Kadambi,Vasu']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Extended Curricular Practicum Education,
IDIS,3799,"['Brock,Phyllis S' 'Cannon,Maria Baron']","MBA and 30 units  (Includes test and transfer units, and units in progress)",Managing Transitions,"The course is based on critical transitions, formative experiences, and personal conflict that characterize the common challenges MBAs are likely to face as they progress in their careers. One objective is to help students gain a more robust understanding of some of the pitfalls they may encounter as they make transitions within or across organizations. Research demonstrates that career failures are often associated with individual failures to successfully make these transitions. Blending theory and practice sessions will illustrate the lessons learned by others (such as SV executives) that have sometimes stumbled in making what seem to be straightforward transitions. Why are transitions challenging? Typically transitions require learning new skills and strategies for managing people who have different responsibilities, needs, goals and expectations than the individual has led in the past. For example, the role as individual team member vs. managing a team requires a shift in mindset from getting a job done through personal skills and effort to getting work done through others; shifting from a manager to a leader requires a shift in attention from focusing on doing things right to doing the right things. Such transitions often mean letting go of the very things that have made us successful in the past and deriving satisfaction from others accomplishments. Although easy to understand conceptually, this marks a fundamental shift in individuals identities."
IDIS,3800,"['Brock,Phyllis S' 'Cannon,Maria Baron']",IDIS 3799 AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Managing Transitions II,This is the second part of  2-unit credit course series that prepares students for the career transitions that they will encounter once completing Santa Clara Universitys MBA program. This highly relevant course concentrates on the skills students require to succeed early on in their careers. These lessons learned will be applicable to transitions throughout the students careers.
IDIS,3802,"['Li,Tao' 'Lu,Haibing' 'Samorani,Michele' 'Tan,Tzu-Chin']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Data Science Analysis with Python,
MGMT,2501,"['Gordon,Francine Ethel' 'Griffith,Terri L' 'Zeitlin,Jo-Ellen Pozner']",(MSINFSYSMJ OR MSFNCEMJ),Building and Leading High-Performance Teams and Organizations,"Leaders are successful when they build teams and organizations that can accomplish critical goals, adapt to changing conditions, and maintain the motivation and commitment of employees. Doing these things requires understanding how individuals characteristics affect their behaviors at work, how the dynamics of work teams are related to their performance, and how the technology, structure, and human resource systems of organizations influence performance. This course explores those general issues and addresses questions such as What are the characteristics and behaviors of high performing managers? How does one build high performing cross-functional and cross- cultural teams? What is the best way to structure an organization when rapid changes may be necessary? and What are the consequencesboth intended and unintended of systems (compensation plans, performance management systems, etc.), organization culture, and leaders actions on individual and organization performance?"
MGMT,2504,"['Ji,Xiaoying']",MSINFSYSMJ ONLY,Innovation in Silicon Valley,"The course will cover the skills, practices and processes for understanding and managing technology and innovation in fast paced environments. The course delivery is informed by extant foundational and emerging empirical work in innovation. This course will complement content in elective courses (product marketing, product development, and intellectual property, small business entrepreneurship) and core courses in strategy."
MGMT,2512,"['Akindeko,Kolawole Akinseye' 'Patterson,Kelly']",(MSFNCEMJ OR MSENTREPMJ),The Practice of Leadership (Organizational Change),"Investigates and examines priorities of exemplary leaders. Emphasizes developing conceptual understanding of the leadership process and on building leadership skills. Classes are often experiential and highly reflective, using written and video case studies. Some team assignments may be made."
MGMT,2701,"['Velasquez,Manuel G']",,Ethics For Supply Chain Management Professionals,"This course is designed for students in the Master of Science in Supply Chain Management and
Analytics program. It provides an understanding of the psychology of ethical behavior, the role
of ethics in business and its application to the ethical dilemmas encountered in supply chain
management, and managing ethics within organizations. Its focus is on practical techniques for
identifying, analyzing, and resolving ethical dilemmas when they arise, for marshaling the
resources and courage to respond ethically to them, and for managing other supply chain
professionals in an ethical manner. The course consists of both an online component and an in-
class component. This course is currently open only to students in the MS-SCMA program; this
course does not fulfill the ethics requirement in the MBA program."
MGMT,3000,"['Gordon,Francine Ethel' 'Patterson,Kelly' 'Piderit,Kristin E'
 'Posner,Barry Z' 'nan']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Leading People and Organizations,"Provides students with theories, frameworks, and empirical research on the topic of leadership and team dynamics to help students enhance their own leadership capabilities. Topics include empirically-grounded models of leadership, importance of self-awareness in leadership, effective group & team dynamics, group decision-making, conflict resolution, and design thinking."
MGMT,3050,"['Flatt,Sylvia J' 'Ji,Xiaoying' 'Lu,Shaohua' 'MacGregor,Nydia M'
 'Madsen,Tammy']","(OMIS 3357, 357, 857 OR 3252)&(FNCE 451 OR 2452 OR 3452, 3000 OR 854)&(ACTG 3000 OR 851)&(MKTG 3552, 551,3000 OR 856)&(ECON 3000 OR 3400 OR 857)& (MGMT 3000 OR 850)&(MGMT 3505, 505, 3200 OR IDIS 861)& (OMIS 3000) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)",Strategic Analysis,"This course focuses on the processes by which managers position their businesses to develop and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs  choosing what not to do is as important as choosing what to do. As a result, the course covers a variety a tools, frameworks, theories and concepts for analyzing a firms strategic position and the environment in which it is operating. By focusing on the factors that make some strategic positions strong and viable, students will develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macroenvironmental forces, and technology on industry structure and firm behavior and, in turn, on a firms opportunities for establishing and sustaining a superior position relative to rivals. The course also requires that students integrate and extend the knowledge and skills they have developed throughout their MBA program course work (i.e. marketing, finance, economics, organizational behavior, ethics, information systems, accounting, etc.) into a ""total business perspective. Analyzing real world situations best facilitates this activity; therefore, case analysis plays a large role in the course. Students will develop skills in developing a coherent, social responsible, viable and defensible strategic position that will carry a firm into the future."
MGMT,3052,"['Flatt,Sylvia J' 'MacGregor,Nydia M' 'Madsen,Tammy']",(MGMT 3519 OR 3050 OR CONCURRENT ENROLLMENT IN MGMT 3519 OR 3050) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Challenges in Leading and Managing Strategic Change,Moving an organization from where it is to where it needs to go is rarely easy and many strategic change efforts fail. The fast paced nature of todays competitive environments adds another layer of urgency and complexity. This course is designed to deepen your understanding of the strategic and tactical issues that a leader must prepare for in order to initiate and implement strategic change successfully.
MGMT,3200,"['Jacobus,Laura Elizabeth' 'Johnson,Christina Andrea'
 'Santoro,Michael Anthony' 'Velasquez,Manuel G']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Ethics for Managers,"This course is an introduction to business ethics that focuses specifically on the kinds of ethical issues that managers typically encounter. Course topics include the psychological factors that influence moral decision-making, normative approaches for dealing with ethical issues in management, and application of these concepts to cases describing real life ethical dilemmas managers have faced in a variety of organizational and environmental settings."
MGMT,3504,"['Ji,Xiaoying']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Innovation in Silicon Valley,"The course focuses on the skills, practices and processes for evaluating
and managing technology and innovation in fast-paced environments. Students learn
to apply human-centric design thinking to innovation decision-making processes. The
course delivery is informed by extant foundational and emerging empirical work in
innovation. The content complements other elective courses (product marketing,
product development, and intellectual property, small business entrepreneurship) and
the core course in strategy. (4 units)"
MGMT,3512,"['Akindeko,Kolawole Akinseye' 'Ji,Xiaoying' 'Patterson,Kelly']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),The Practice of Leadership (Organizational Change),"Investigates and examines priorities of exemplary leaders. Emphasizes developing conceptual understanding of the leadership process and on building leadership skills. Classes are often experiential and highly reflective, using written and video case studies. Some team assignments may be made."
MGMT,3519,"['Ji,Xiaoying']","(OMIS 3357, 357, 857 OR 3252)&(FNCE 451 OR 2452 OR 3452, 3000 OR 854)&(ACTG 3000 OR 851)&(MKTG 3552, 551,3000 OR 856)&(ECON 3000 OR 3400 OR 857)& (MGMT 3000 OR 850)&(MGMT 3505, 505, 3200 OR IDIS 861)& (OMIS 3000) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ)",Strategic Analysis,"This course focuses on the processes by which managers position their businesses to develop and sustain an advantage relative to rivals in the face of uncertainty, rapid change, and competition. Strategy involves understanding the utility of different choices and tradeoffs  choosing what not to do is as important as choosing what to do. As a result, the course covers a variety a tools, frameworks, theories and concepts for analyzing a firms strategic position and the environment in which it is operating. By focusing on the factors that make some strategic positions strong and viable, students will develop the ability to evaluate the effects of changes in resources & capabilities, industry forces, macroenvironmental forces, and technology on industry structure and firm behavior and, in turn, on a firms opportunities for establishing and sustaining a superior position relative to rivals. The course also requires that students integrate and extend the knowledge and skills they have developed throughout their MBA program course work (i.e. marketing, finance, economics, organizational behavior, ethics, information systems, accounting, etc.) into a ""total business perspective. Analyzing real world situations best facilitates this activity; therefore, case analysis plays a large role in the course. Students will develop skills in developing a coherent, social responsible, viable and defensible strategic position that will carry a firm into the future."
MGMT,3526,"['Gordon,Francine Ethel']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Strategic Talent Management,"Focuses on the strategic role of human resources (HR) planning and development. Addresses the creation of value through the HR function. Includes topics on linking HR and strategic planning; the transformational impact of information technology, process engineering, and outsourcing on the employment relationship; and an HR perspective on building a high-performance organization. Course has a special emphasis on high-technology organizations."
MGMT,3532,"['Johnson,Christina Andrea']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Managerial Communications,"Focuses on three important aspects of managerial communications: interpersonal (building on concepts introduced in MGMT 3500), cross-cultural, and corporate. The communication skills addressed are especially useful in a rapidly changing environment.  Emphasizes implementation, and expectations are for a high level of student involvement. Evaluation is based on several papers and participation."
MGMT,3538,"['Flatt,Sylvia J' 'Piderit,Kristin E']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Leading Teams and Projects,"This course presents key analytical tools to prepare students to build and lead project teams in dynamic environments. The course provides students with tools and concepts for effective project management and techniques for creating high performing temporary teams. Students will assess team composition and team dynamics, and learn to intervene when conflict is unhealthy. Key practices for project planning, monitoring and controlling are examined, including an examination of common sources of project risks."
MGMT,3540,"['Baker,Gregory A']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Food Industry Management,"Focuses on the key issues that affect management decisions in food and agribusiness firms. Includes topics on the principal regulations and regulatory bodies governing the food industry, food safety and crisis management, ethical issues in food production and distribution, and resource and environment issues."
MGMT,3541,"['Riel-Carden,Erica R']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Strategy Development in Food & Beverage Industries,"focuses on analysis of the strategic options facing food and agribusinesses worldwide.
Emphasis is on developing an understanding of industry segments and value chains, food
branding strategies, and new product development. Particular attention is placed on innovation in
the agricultural production (AgTech) and food (FoodTech) sectors. Teams work together to
prepare case analyses for presentation to the class. Students receive feedback and are coached on
how to enhance their performance. (4 units)"
MGMT,3543,"['Kirazci,Mehmet Deniz']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Food Industry Innovation,"This course focuses on the fundamental concepts of imagination, creativity, and innovation, as they apply to food products and the food industry. The course is designed as an action-learning process in which the students will be guided to immerse themselves in food innovation sources, identify an opportunity area, come up with an idea of food innovation and develop and plan early-stage entrepreneurial activities. Topics include the innovation methods, food value chain, including major food industry segments, factors influencing the food system, technological developments, and the methods and tools necessary to effectively manage the innovation process."
MGMT,3544,"['Delaney,Molly Lynn' 'Piderit,Kristin E' 'Zeitlin,Jo-Ellen Pozner']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Strategic Business Negotiations,"Studies the behavior of individuals, groups, and organizations in the context of cooperative and competitive situations. Examines the theory and processes of negotiation so the student can negotiate successfully in a variety of settings. Designed to be relevant to the broad spectrum of negotiation problems faced by managers and professionals. Considers that while a manager needs analytical skills to discover optimal solutions to problems, a broad array of negotiation skills is needed to get these solutions accepted and implemented. Gives students the opportunity to develop these skills experientially and to understand negotiation in useful analytical frameworks."
MGMT,3545,"['MacGregor,Nydia M' 'Santoro,Michael Anthony']",(MGMT 3000 OR MGMT 503) AND (MGMT 3200 OR MGMT 3505)  AND FNCE 3000 OR FNCE 3452 OR FNCE 2452) AND (MBAMBAMJ OR MBAJDMMJ),Healthcare Management and Innovation,"The course will also dive deeply into healthcare innovation in Silicon Valley and elsewhere and will examine various public and private innovative efforts to make the healthcare system more efficient, more ethical, more effective in serving unmet health care needs, and more creative in developing new healthcare therapies and business models.  The approach will be highly practical and hands-on and will draw heavily from case studies and other examples from the healthcare industry. 

Pre-requisites: Management 3000; Management 3200; Finance 3000"
MGMT,3546,"['MacGregor,Nydia M' 'Woolley,Jennifer Lynn']",MGMT 3000 AND MGMT 3200 AND (MBAMBAMJ 0R MBAJDMMJ),Spirituality and Business Leadership,"Explores the relationship between business leadership and spirituality through the lens of contemporary, as well as classical, religious literature. References both Eastern and Western spiritual traditions and explores why successful leaders often derail in the absence of spiritual integration. Includes attention to spiritual disciplines such as prayer and meditation tailored for the time-pressured life of business professionals and leaders."
MGMT,3548,"['Eberhart,Robert Neal' 'Stecker,Michelle J.' 'nan']",(MKTG 3000 OR MKTG 3552) AND (FNCE 3000 OR FNCE 3452 OR FNCE 451) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Social Benefit Entrepreneurship,"Introduces students to social benefit entrepreneurship through readings, case study analysis, and the application of a field-tested process to formulate business plans for existing social benefit ventures. Considers the unique nature of social entrepreneurship as an innovation process to develop products or services for advancing social progress in areas such as the environment, economic development, poverty alleviation, access to affordable healthcare, and education. Emphasizes the development of knowledge and skills for maximizing the social impact, financial sustainability, and scalability of a social benefit enterprise."
MGMT,3549,"['Powers,Elizabeth Enayati']",,Legal Fundamentals for Entrepreneurs,"This course introduces students to some of the fundamental legal issues
typically encountered by entrepreneurs and startup companies. These include
restrictions arising when leaving a current employer, selecting the best company
structure and ownership, raising money and securities regulation, human resources
concerns, contracts and leases, liability relating to the sale of goods and services,
operational liability, intellectual property, creditors rights and bankruptcy, and others.
Prerequisite: None. (4 units)"
MGMT,3550,"['Powers,Elizabeth Enayati']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),IP Strategies for Tech Start Ups,"Identification and management of intellectual property (IP) assets is a significant strategic tool for every level of management.  This course is designed to demystify intellectual property rights that are present in technology companies, and to give them a working understanding of IP rights relevant to technology, and in particular start-up technology companies."
MGMT,3551,"['Posner,Barry Z']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502 OR MGMT 2501) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ OR MSINFSYSMJ ),Coaching for Leadership Development,"Theres a leadership shortage in the world. Its not a shortage of potential talent, because the
people, eagerness, resources, and capabilities exist. The shortage is a result of demographic
shifts, insufficient training and experiences, and the prevailing mindsets that discourage people
from learning to lead. Leadership potential isnt something that some people have and other
people dont. Its much more broadly distributed than traditionally accepted views suggest.
Learning to become exemplary leaders, exercising greater leadership, is essential across all
types of organizations, settings, and circumstances because it makes a significant difference in
peoples levels of engagement, commitment, and performance. Developing greater leadership
capabilities will not only promote more productive organizations but also enhances feelings of
self-worth and meaningfulness. As the late management guru Peter Drucker explained: Only
three things happen naturally in organizations: Friction, confusion, and under-performance.
Everything else requires leadership.
Through lectures, field work, experiential exercises, readings, and reflective essays students will
develop their facility and acumen in using a leadership operating system. The course provides a
systematic opportunity to practice and receive feedback on your leadership behaviors through
instrumented 360-degree feedback as well as peer coaching.
Upon successful completion of the course, students will be capable of:
1. Articulating their philosophy of leadership
2. Explaining an operating system for leadership
3. Describing their leadership capabilities
4. Building strong relationships with constituents
5. Coaching themselves and others in leadership practices
Required Textbooks:
Learning Leadership: The Five Fundamentals of Becoming an Exemplary Leader (ISBN# 978-
1-119-14428-1) -- LL
Trillion Dollar Coach: The Leadership Playbook of Silicon Valleys Bill Campbell (ISBN# 978-
0-06-283926-8) -- TDC
The Leadership Challenge: How to Make Extraordinary Things Happen in Organizations
(ISBN# 978-1119278962) -- TLC
The Truth About Leadership: The No-Fads, Heart-of-the-Matter Facts You Need to Know
(ISBN# 978-0-470-63354-0) -- TTAL
There will also be a packet of readings provided by the instructor, including a Learning
Leadership Journal (LLJ).
In addition, students are expected to purchase and complete the Leadership Practices Inventory
(5 th Edition). Information about the administration of this instrument will be provided by the
instructor."
MGMT,3698,"['Furlong,Mary' 'Madsen,Tammy']",,Management Independent Study,
MGMT,3718,"['Johnson,Christina Andrea']",(MBSMBAMJ OR MBAJDMMJ) AND (MKTG 3200 OR CURRENT ENROLLMENT IN MKTG 3200),Venture Capital Essentials,"Given our location in the heart of Silicon Valley, many of our students entertain the idea of becoming entrepreneurs.  While not all entrepreneurs will choose to seek funding from VCs, there is a general interest in understanding exactly what VCs do.  Sparked by preparing students to  participate in the Venture Capital Investment Competition (VCIC), this course provides a good understanding of the processes VCs used to evaluate startups."
MGMT,3801,"['Sundararajan,Sriram']",,Management Consulting,"This course is designed for students who are interested in learning about management consulting including tools and techniques to gain a consulting mindset. The course covers the consulting process from sourcing and starting engagements to closure and follow up engagements. Students will learn how to manage client needs and situations, how to articulate client needs in a succinct proposal, how to plan and execute consulting assignments, and how to manage client interactions. In addition, students will learn to use some common frameworks for consulting. The course also includes lecture, readings of cases and articles, in-class and out of class exercises, classroom discussions, and team project(s)."
MGMT,3802,"['Woolley,Jennifer Lynn']",(MGMT 3000 OR MGMT 503 OR MGMT 850 OR MGMT 3502) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Entrepreneurial Opportunities and Innovation,"This course looks as the practice of business innovation and entrepreneurship with an emphasis on how entrepreneurs recognize opportunities, communicate ideas, innovate, develop products, and build organizations.  This course provides students with the skills, tools, and mindsets to enable them to discover other peoples problems upon which entrepreneurial ventures may be built and to use their own creativity to generate solutions to these problems.  The techniques and skills apply to both start-ups and established ventures.  This course is an introductory course intended to provide a foundation regarding the role of entrepreneurship and entrepreneurs in society and economy. As such, this class will explore what entrepreneurship means from several angles including how a person can be entrepreneurial in his or her own life - right now. This is an energized course about discovering entrepreneurship in and out of the firm."
MKTG,2300,"['Byers,Charles F' 'Zhang,Yuchi']",,Marketing Trends and Technology,"This residency course introduces key CMO and marketing technology issues that marketers face in their firms every day. It discusses the use of online dashboards for tracking, evaluation, and reporting, and it outlines the underlying technology and data that feeds into the dashboards. The course also focuses on broad technological advances in marketing, highlights the CMO/CFO interface, looks at the latest trends in marketing automation, and evaluates the role of outsourcing as part of the overall marketing resource mix."
MKTG,2316,"['Bajaj,Aditi']",,Foundations of MarTech,"The profusion of information available to the buyers, thanks to the internet, has fundamentally altered the marketing landscape. Marketers now need the power of technology to engage with buyers in meaningful and consistent way, and drive results. The purpose of this course is to introduce students to core technology platforms at the intersection of marketing and information systems and to present an overview of some popular platform solutions including Salesforce, Oracles Eloqua, Adobes Marketo and more."
MKTG,2500,"['Byers,Charles F']",MSBUSAMJ Academic Plan Only,Marketing Principles,"Will introduce students to the fundamental concepts and terminologies of Marketing and Marketing decisions: how to effectively segment markets, target customers and position products and services, formulate and evaluate marketing mix tactics."
MKTG,2505,"['Dong,Xiaojing']",MSBUSAMJ Academic Plan Only,Marketing Analytics,"Prepares managers to identify the competitive advantages that come from leveraged analytics, apply and implement tools, evaluate
advantages and limitations, ask relevant business questions and interpret and communicate the output from tools and models to achieve profitable business decisions."
MKTG,2700,"['Byers,Charles F']",,,
MKTG,3000,"['Byers,Charles F' 'Lo,Ho Fu Des' 'Montermoso,Juan P']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ) AND NOT (MKTG 3552 OR MKTG 551 OR MKTG 553),Marketing Is Everything,"Focuses on decisions faced by managers concerning market segmentation, targeting, and positioning. Covers concepts such as new product development, pricing strategies, distribution channels, customer relationships, and performance metrics within a strategic planning framework. Students apply these key concepts and frameworks to cases and to formulating a comprehensive marketing plan centered on sustainable profitability and capabilities. Cases cover various environments and industries, especially those of concern to Silicon Valley firms."
MKTG,3052,"['Byers,Charles F' 'Shi,Wei']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Challenges In Modern-Day Marketing,"This course introduces the concepts critical for contemporary analysis of fundamental marketing principles. The course also outlines key aspects of the marketing management framework and introduces data analysis tools that are important to ascertaining optimal marketing strategies. Topics include data-driven assortment strategies, STP based on break-even analysis and life time customer value, sales promotion planning, recommendation systems designs."
MKTG,3200,"['Bruno,Albert V' 'Hendershott,Robert J']",(MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Doing Business In Silicon Valley,"Introduces the Silicon Valley business ecosystem with a focus on how innovative new companies are launched, financed, and built into the next generation of market leaders. Includes the foundation for effective business communication."
MKTG,3554,"['Bajaj,Aditi' 'Jiang,Lan' 'Williams,Patrick John']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Analyzing Customers and Markets,"Topics include frameworks for understanding how customers make decisions and adopt innovations, metrics for assessing customer attitudes, satisfaction and loyalty, methods for segmenting a market, and measures of brand equity.  The focus throughout is on techniques for gathering and analyzing data on customers and markets in both on-line and traditional channels.  Addresses B-to-B and B-to-C decision process in rapidly changing markets."
MKTG,3569,"['Bruno,Albert V']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Small Business Entrepreneurship,"Evaluation of venture ideas and the conversion of these ideas into viable ventures. Discussion of cases, lectures, and presentations by guest lecturers who have played a role in starting new enterprises (e.g., bankers, attorneys, entrepreneurs). Development of a five-year business plan for a new enterprise. Knowledge of accounting/finance must be sufficient to build viable financial statements.Business plan teams will present their business plan investor pitches to a Silicon Valley investor panel at the end of the quarter."
MKTG,3572,"['Sarangee,Kumar R']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),New Product Innovation,"Presents the product manager or marketer as a generalist with responsibility for the multifunctional, multidisciplinary approach required to develop, launch, and manage successful products by combining elements of product development, product launch planning, and product management, Includes in-depth treatments of product life cycle analysis, buyer utility, competitive set, customer and market analysis, pricing, and the product launch process. Appropriate for those interested in high-technology and/or consumer product markets."
MKTG,3574,"['Buonanno,Mark Anthony']",(MKTG 3000 OR MKTG 3552 OR MKTG 551 OR MKTG 2552 OR MKTG 856) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),Sales Management and Design,"Provides the student with user-level knowledge of sales concepts and management methodologies necessary to effectively perform and manage the sales function. In the role of a sales or marketing manager, enables the student to apply these concepts to selling consumer products as well as high-tech industrial products. Includes concepts related to organizational structuring, territory plans and reviews, resource management, sales incentives, and compensation programs."
MKTG,3588,"['Azhar,Wasim']",(ECON 3000 OR ECON 3400 OR ECON 401 OR ECON 2401 OR ECON 852) AND (MBAMBAMJ OR MBAJDMMJ OR MBAWKENDMJ),The Analytics of Optimal Pricing and New Product Decisions,"Optimal pricing is an essential component of business strategy in a competitive business environment and yet many firms employ arbitrary rules and haphazard approaches to pricing that adversely affect their profits and competitive positions. Product Pricing has to match Product Portfolio planning and hence product analytics are inextricably linked to pricing strategies and tactics.This course aims to equip participants with useful concepts, formulae, techniques, and frameworks for assessing, formulating, and implementing optimal pricing strategies and tactics concomitant with product portfolio analytics within the context of overall strategic, marketing and financial objectives and strategies. The course will draw on behavioral, mathematical, and economic foundations,  principles of marketing strategy, and game theory to develop and describe effective systematic and structured approaches to pricing decisions. Concepts and topics covered in the course will include new product pricing, pricing over the product life cycle, value pricing, segmented pricing, nonlinear pricing, price discrimination, promotional pricing, retail pricing techniques, pricing software products, Freemium, SaaS and SaaP pricing models and product line pricing strategies. Pricing strategies and tactics in competitive bidding situations will also be covered. The course will primarily consist of cases to be discussed in class with key templates and takeaways derived from them  and supplemented by lecture discussions and analytical frameworks.  The course is primarily intended for managers who in their careers will be involved in evaluating, formulating, implementing and/or recommending pricing policies, strategies and tactics within the context of integrated business strategies."
